"","Age","Sex","Geo","Year","Population"
"550","TOTAL","F","FX",2012,32676801
"551","TOTAL","F","GE",2012,2353823
"552","TOTAL","F","HR",2012,2213675
"553","TOTAL","F","HU",2012,5207259
"554","TOTAL","F","IE",2012,2312918
"555","TOTAL","F","IS",2012,159211
"556","TOTAL","F","IT",2012,30667608
"557","TOTAL","F","LI",2012,18433
"558","TOTAL","F","LT",2012,1620130
"559","TOTAL","F","LU",2012,263033
"560","TOTAL","F","LV",2012,1110001
"561","TOTAL","F","MC",2012,NA
"562","TOTAL","F","MD",2012,1847816
"563","TOTAL","F","ME",2012,313949
"564","TOTAL","F","MK",2012,1027868
"565","TOTAL","F","MT",2012,209851
"566","TOTAL","F","NL",2012,8447477
"567","TOTAL","F","NO",2012,2486999
"568","TOTAL","F","PL",2012,19636496
"569","TOTAL","F","PT",2012,5511961
"570","TOTAL","F","RO",2012,10318889
"571","TOTAL","F","RS",2012,3702229
"572","TOTAL","F","RU",2012,NA
"573","TOTAL","F","SE",2012,4756021
"574","TOTAL","F","SI",2012,1038765
"575","TOTAL","F","SK",2012,2772570
"576","TOTAL","F","SM",2012,17159
"577","TOTAL","F","TR",2012,37191315
"578","TOTAL","F","UA",2012,24476570
"579","TOTAL","F","UK",2012,32289036
"580","TOTAL","F","XK",2012,NA
"581","TOTAL","M","AD",2012,39863
"582","TOTAL","M","AL",2012,NA
"583","TOTAL","M","AM",2012,1590285
"584","TOTAL","M","AT",2012,4098144
"585","TOTAL","M","AZ",2012,4583484
"586","TOTAL","M","BA",2012,1875610
"587","TOTAL","M","BE",2012,5451780
"588","TOTAL","M","BG",2012,3566767
"589","TOTAL","M","BY",2012,4398293
"590","TOTAL","M","CH",2012,3922253
"591","TOTAL","M","CY",2012,418993
"592","TOTAL","M","CZ",2012,5158210
"593","TOTAL","M","DE",2012,40206663
"594","TOTAL","M","DE_TOT",2012,40206663
"595","TOTAL","M","DK",2012,2766776
"596","TOTAL","M","EA18",2012,162937037
"597","TOTAL","M","EA19",2012,164320548
"598","TOTAL","M","EE",2012,618138
"599","TOTAL","M","EEA30",2012,247351748
"600","TOTAL","M","EEA31",2012,249414057
"601","TOTAL","M","EFTA",2012,6599530
"602","TOTAL","M","EL",2012,5423884
"603","TOTAL","M","ES",2012,23099012
"604","TOTAL","M","EU27",2012,244674471
"605","TOTAL","M","EU28",2012,246736780
"606","TOTAL","M","FI",2012,2652534
"607","TOTAL","M","FR",2012,31605383
"608","TOTAL","M","FX",2012,30699170
"609","TOTAL","M","GE",2012,2143794
"610","TOTAL","M","HR",2012,2062309
"611","TOTAL","M","HU",2012,4724666
"612","TOTAL","M","IE",2012,2269789
"613","TOTAL","M","IS",2012,160364
"614","TOTAL","M","IT",2012,28726599
"615","TOTAL","M","LI",2012,18042
"616","TOTAL","M","LT",2012,1383511
"617","TOTAL","M","LU",2012,261820
"618","TOTAL","M","LV",2012,934812
"619","TOTAL","M","MC",2012,NA
"620","TOTAL","M","MD",2012,1711725
"621","TOTAL","M","ME",2012,306359
"622","TOTAL","M","MK",2012,1031926
"623","TOTAL","M","MT",2012,207695
"624","TOTAL","M","NL",2012,8282871
"625","TOTAL","M","NO",2012,2498871
"626","TOTAL","M","PL",2012,18427296
"627","TOTAL","M","PT",2012,5030437
"628","TOTAL","M","RO",2012,9777107
"629","TOTAL","M","RS",2012,3514420
"630","TOTAL","M","RU",2012,NA
"631","TOTAL","M","SE",2012,4726834
"632","TOTAL","M","SI",2012,1016731
"633","TOTAL","M","SK",2012,2631752
"634","TOTAL","M","SM",2012,16217
"635","TOTAL","M","TR",2012,37532954
"636","TOTAL","M","UA",2012,20976712
"637","TOTAL","M","UK",2012,31206267
"638","TOTAL","M","XK",2012,NA
"639","TOTAL","T","AD",2012,78115
"640","TOTAL","T","AL",2012,NA
"641","TOTAL","T","AM",2012,3274285
"642","TOTAL","T","AT",2012,8408121
"643","TOTAL","T","AZ",2012,9235085
"644","TOTAL","T","BA",2012,3839265
"645","TOTAL","T","BE",2012,11094850
"646","TOTAL","T","BG",2012,7327224
"647","TOTAL","T","BY",2012,9465150
"648","TOTAL","T","CH",2012,7954662
"649","TOTAL","T","CY",2012,862011
"650","TOTAL","T","CZ",2012,10505445
"651","TOTAL","T","DE",2012,81843743
"652","TOTAL","T","DE_TOT",2012,81843743
"653","TOTAL","T","DK",2012,5580516
"654","TOTAL","T","EA18",2012,333813507
"655","TOTAL","T","EA19",2012,336817148
"656","TOTAL","T","EE",2012,1325217
"657","TOTAL","T","EEA30",2012,506642124
"658","TOTAL","T","EEA31",2012,510918108
"659","TOTAL","T","EFTA",2012,13296582
"660","TOTAL","T","EL",2012,11086406
"661","TOTAL","T","ES",2012,46818219
